"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2015","2,331.40","2,297.33","2,331.94","2,297.33","-","1.92%"
"Jan 07, 2015","2,287.41","2,284.27","2,325.12","2,282.54","-","0.92%"
"Jan 06, 2015","2,266.65","2,281.28","2,287.54","2,251.34","-","-0.19%"
"Jan 05, 2015","2,271.01","2,325.59","2,326.35","2,258.25","-","-3.27%"
"Jan 02, 2015","2,347.78","2,401.60","2,409.97","2,343.56","-","-2.39%"
"Dec 31, 2014","2,405.30","2,400.34","2,427.39","2,361.07","-","0.08%"
"Dec 30, 2014","2,403.37","2,441.14","2,444.78","2,378.47","-","-1.80%"
"Dec 29, 2014","2,447.33","2,430.85","2,449.27","2,420.72","-","0.65%"
"Dec 26, 2014","2,431.48","2,451.30","2,451.30","2,419.37","-","-0.81%"
"Dec 24, 2014","2,451.43","2,469.25","2,470.54","2,430.02","-","-0.87%"
"Dec 23, 2014","2,472.83","2,384.45","2,479.27","2,384.45","-","4.27%"
"Dec 22, 2014","2,371.50","2,347.44","2,384.18","2,333.26","-","1.31%"
"Dec 19, 2014","2,340.78","2,306.48","2,345.40","2,294.75","-","2.19%"
"Dec 18, 2014","2,290.64","2,282.40","2,316.64","2,244.42","-","1.35%"
"Dec 17, 2014","2,260.22","2,205.72","2,306.78","2,202.39","-","2.58%"
"Dec 16, 2014","2,203.30","2,171.22","2,227.93","2,112.08","-","1.23%"
"Dec 15, 2014","2,176.59","2,294.79","2,317.65","2,176.59","-","-4.87%"
"Dec 12, 2014","2,287.98","2,377.61","2,384.29","2,287.68","-","-4.43%"
"Dec 11, 2014","2,394.06","2,349.12","2,411.22","2,338.27","-","0.96%"
"Dec 10, 2014","2,371.25","2,483.21","2,489.72","2,343.33","-","-4.46%"
"Dec 09, 2014","2,482.02","2,568.82","2,568.82","2,461.51","-","-4.05%"
"Dec 08, 2014","2,586.72","2,647.00","2,655.41","2,579.16","-","-2.65%"
"Dec 05, 2014","2,657.07","2,643.58","2,663.87","2,632.81","-","0.87%"
"Dec 04, 2014","2,634.23","2,612.77","2,648.30","2,604.52","-","0.77%"
"Dec 03, 2014","2,614.17","2,589.04","2,620.77","2,579.94","-","1.19%"
"Dec 02, 2014","2,583.43","2,612.41","2,612.41","2,572.92","-","-1.16%"
