"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 04, 2016","5,589.74","5,498.71","5,601.62","5,498.71","-","2.07%"
"Feb 03, 2016","5,476.35","5,412.42","5,476.35","5,403.28","-","0.27%"
"Feb 02, 2016","5,461.72","5,502.73","5,529.09","5,461.72","-","-1.41%"
"Feb 01, 2016","5,539.93","5,547.42","5,557.08","5,473.43","-","-0.01%"
"Jan 29, 2016","5,540.65","5,511.20","5,540.65","5,462.51","-","0.86%"
"Jan 28, 2016","5,493.32","5,476.97","5,493.32","5,457.50","-","0.28%"
"Jan 27, 2016","5,478.12","5,437.05","5,478.12","5,423.20","-","1.38%"
"Jan 26, 2016","5,403.72","5,390.56","5,419.16","5,383.26","-","-0.36%"
"Jan 25, 2016","5,422.98","5,415.28","5,445.27","5,381.29","-","1.12%"
"Jan 22, 2016","5,363.11","5,340.54","5,363.11","5,304.14","-","1.65%"
"Jan 21, 2016","5,276.28","5,287.06","5,341.98","5,258.02","-","-0.17%"
"Jan 20, 2016","5,285.42","5,357.66","5,376.50","5,285.42","-","-1.88%"
"Jan 19, 2016","5,386.46","5,355.54","5,387.65","5,335.90","-","0.71%"
"Jan 18, 2016","5,348.57","5,344.09","5,379.33","5,337.07","-","-1.03%"
"Jan 15, 2016","5,404.02","5,423.02","5,455.47","5,404.02","-","-0.16%"
"Jan 14, 2016","5,412.43","5,370.43","5,449.39","5,331.34","-","-0.86%"
"Jan 13, 2016","5,459.50","5,456.99","5,485.35","5,445.52","-","0.95%"
"Jan 12, 2016","5,407.96","5,361.21","5,430.93","5,361.21","-","1.72%"
"Jan 11, 2016","5,316.66","5,372.12","5,388.63","5,313.31","-","-2.17%"
"Jan 08, 2016","5,434.78","5,397.94","5,443.89","5,372.89","-","0.52%"
"Jan 07, 2016","5,406.92","5,454.36","5,468.76","5,406.92","-","-2.11%"
"Jan 06, 2016","5,523.51","5,450.39","5,595.46","5,450.39","-","1.32%"
"Jan 05, 2016","5,451.57","5,400.88","5,514.51","5,400.88","-","1.01%"
"Jan 04, 2016","5,397.08","5,428.03","5,489.70","5,397.08","-","-1.05%"
"Dec 30, 2015","5,454.39","5,443.92","5,490.11","5,443.89","-","0.35%"
"Dec 29, 2015","5,435.51","5,413.36","5,446.66","5,413.36","-","0.12%"
"Dec 28, 2015","5,428.89","5,352.98","5,455.19","5,349.99","-","0.99%"
"Dec 23, 2015","5,375.79","5,370.48","5,385.43","5,335.67","-","-0.11%"
"Dec 22, 2015","5,381.56","5,367.68","5,389.00","5,338.06","-","0.37%"
"Dec 21, 2015","5,361.71","5,295.16","5,368.68","5,295.06","-","0.62%"
"Dec 18, 2015","5,328.55","5,394.49","5,394.49","5,328.55","-","-2.75%"
"Dec 17, 2015","5,479.39","5,473.80","5,482.32","5,427.10","-","2.20%"
"Dec 16, 2015","5,361.41","5,329.08","5,361.41","5,267.14","-","2.30%"
"Dec 15, 2015","5,240.99","5,170.45","5,240.99","5,170.45","-","1.11%"
"Dec 14, 2015","5,183.61","5,127.94","5,185.44","5,098.17","-","-0.33%"
"Dec 11, 2015","5,200.92","5,327.40","5,327.40","5,200.92","-","-2.21%"
"Dec 10, 2015","5,318.71","5,261.98","5,318.90","5,261.98","-","0.14%"
"Dec 08, 2015","5,311.15","5,362.99","5,418.46","5,311.15","-","-1.94%"
"Dec 07, 2015","5,416.49","5,411.81","5,463.77","5,411.81","-","0.63%"
"Dec 04, 2015","5,382.41","5,376.73","5,418.23","5,367.30","-","-0.70%"
"Dec 03, 2015","5,420.15","5,383.09","5,443.49","5,372.83","-","-0.00%"
