"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2014","5,339.88","5,357.80","5,361.90","5,339.90","550.20M","-0.33%"
"Jun 17, 2014","5,357.76","5,369.60","5,374.00","5,346.30","499.67M","-0.22%"
"Jun 16, 2014","5,369.56","5,361.90","5,369.60","5,337.70","487.48M","0.14%"
"Jun 13, 2014","5,361.94","5,385.30","5,385.30","5,330.50","559.60M","-0.43%"
"Jun 12, 2014","5,385.31","5,410.80","5,410.80","5,379.60","434.06M","-0.47%"
"Jun 11, 2014","5,410.83","5,426.50","5,426.50","5,401.70","417.80M","-0.29%"
"Jun 10, 2014","5,426.47","5,421.30","5,453.30","5,420.10","429.81M","0.10%"
"Jun 06, 2014","5,421.29","5,394.90","5,429.90","5,394.90","499.97M","0.49%"
"Jun 05, 2014","5,394.95","5,403.00","5,413.20","5,374.80","493.30M","-0.15%"
"Jun 04, 2014","5,402.98","5,437.40","5,440.80","5,400.50","481.60M","-0.63%"
"Jun 03, 2014","5,437.36","5,475.90","5,483.50","5,436.10","557.50M","-0.70%"
"Jun 02, 2014","5,475.78","5,450.40","5,480.00","5,439.50","482.00M","0.47%"
"May 30, 2014","5,450.36","5,477.10","5,482.50","5,450.40","936.23M","-0.49%"
"May 29, 2014","5,477.07","5,484.50","5,486.10","5,461.00","367.10M","-0.14%"
"May 28, 2014","5,484.51","5,469.00","5,499.00","5,469.00","408.84M","0.28%"
"May 27, 2014","5,469.01","5,470.20","5,486.80","5,464.10","378.48M","-0.02%"
"May 26, 2014","5,470.16","5,450.40","5,470.50","5,450.40","363.76M","0.36%"
"May 23, 2014","5,450.38","5,437.40","5,464.90","5,437.40","462.85M","0.24%"
"May 22, 2014","5,437.36","5,382.70","5,448.60","5,382.70","482.30M","1.02%"
"May 21, 2014","5,382.68","5,378.50","5,382.70","5,330.50","544.79M","0.08%"
"May 20, 2014","5,378.47","5,367.50","5,391.40","5,342.70","452.18M","0.20%"
"May 19, 2014","5,367.47","5,437.20","5,437.20","5,367.50","610.75M","-1.28%"
"May 16, 2014","5,437.18","5,466.80","5,466.80","5,429.50","405.29M","-0.56%"
"May 15, 2014","5,467.97","5,453.80","5,468.00","5,428.90","479.06M","0.27%"
"May 14, 2014","5,453.30","5,454.70","5,462.50","5,430.60","396.78M","-0.03%"
"May 13, 2014","5,454.71","5,405.30","5,461.20","5,405.30","620.80M","0.91%"
"May 12, 2014","5,405.34","5,418.20","5,437.80","5,389.10","357.28M","-0.24%"
"May 09, 2014","5,418.16","5,434.10","5,434.10","5,388.80","465.02M","-0.29%"
"May 08, 2014","5,434.09","5,393.00","5,441.30","5,393.00","503.74M","0.76%"
"May 07, 2014","5,393.03","5,437.30","5,437.30","5,375.00","474.27M","-0.81%"
"May 06, 2014","5,437.30","5,418.10","5,448.80","5,418.10","343.23M","0.35%"
"May 05, 2014","5,418.10","5,414.00","5,442.20","5,398.20","333.87M","0.08%"
"May 02, 2014","5,413.99","5,405.00","5,414.50","5,386.20","423.64M","0.17%"
"May 01, 2014","5,404.99","5,445.30","5,457.00","5,395.50","420.35M","-0.74%"
"Apr 30, 2014","5,445.31","5,443.60","5,464.10","5,420.10","468.21M","0.03%"
"Apr 29, 2014","5,443.63","5,493.50","5,512.40","5,426.10","520.08M","-0.91%"
"Apr 28, 2014","5,493.51","5,487.80","5,505.70","5,476.00","445.85M","0.10%"
"Apr 24, 2014","5,487.78","5,475.10","5,494.80","5,475.10","484.75M","0.23%"
"Apr 23, 2014","5,475.07","5,437.70","5,479.00","5,437.70","427.41M","0.69%"
"Apr 22, 2014","5,437.71","5,413.20","5,441.00","5,410.50","348.96M","0.45%"
"Apr 17, 2014","5,413.21","5,379.40","5,418.50","5,379.40","430.92M","0.63%"
"Apr 16, 2014","5,379.36","5,347.40","5,383.90","5,346.10","414.72M","0.60%"
"Apr 15, 2014","5,347.42","5,320.30","5,367.20","5,320.30","389.87M","0.54%"
