"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 15, 2017","44,789","44,940","44,940","44,378","29.07K","-0.67%"
"Jun 14, 2017","45,090","45,371","45,589","44,992","120.64K","-0.42%"
"Jun 13, 2017","45,279","45,400","45,580","45,150","155.72K","0.13%"
"Jun 12, 2017","45,222","45,675","45,700","45,105","135.53K","-1.59%"
"Jun 09, 2017","45,954","45,912","46,043","45,722","25.97K","0.28%"
"Jun 08, 2017","45,826","45,988","46,000","45,598","29.47K","-0.18%"
"Jun 07, 2017","45,908","45,984","46,198","45,820","46.43K","-0.22%"
"Jun 06, 2017","46,008","46,465","46,564","45,922","40.19K","-1.23%"
"Jun 05, 2017","46,579","46,573","46,778","46,339","30.68K","-0.21%"
"Jun 02, 2017","46,675","46,890","46,995","46,450","33.57K","-0.03%"
"Jun 01, 2017","46,690","47,270","47,312","46,620","41.03K","-1.31%"
"May 31, 2017","47,309","47,700","47,733","47,145","34.69K","-1.19%"
"May 30, 2017","47,881","47,721","47,949","47,565","18.22K","0.35%"
"May 29, 2017","47,715","47,725","47,790","47,549","10.11K","-0.04%"
"May 26, 2017","47,734","47,732","47,838","47,535","18.86K","-0.15%"
"May 25, 2017","47,805","48,175","48,240","47,770","23.69K","-0.52%"
"May 24, 2017","48,057","48,164","48,259","47,848","20.80K","-0.49%"
"May 23, 2017","48,292","48,211","48,487","48,099","21.98K","0.05%"
"May 22, 2017","48,267","48,460","48,520","48,120","20.02K","0.04%"
"May 19, 2017","48,250","48,228","48,330","47,980","25.06K","0.38%"
"May 18, 2017","48,068","47,880","48,186","47,706","31.71K","0.61%"
"May 17, 2017","47,776","47,600","48,030","47,554","25.52K","0.09%"
"May 16, 2017","47,733","47,780","47,937","47,528","16.14K","-0.04%"
"May 15, 2017","47,754","47,830","47,945","47,503","17.60K","-0.02%"
"May 12, 2017","47,763","47,899","47,935","47,617","17.37K","-0.12%"
"May 11, 2017","47,822","48,099","48,198","47,655","23.10K","-0.36%"
"May 10, 2017","47,994","47,970","48,106","47,876","17.79K","0.11%"
"May 09, 2017","47,943","47,610","48,092","47,588","22.18K","1.05%"
"May 08, 2017","47,446","47,510","47,600","47,194","21.36K","0.10%"
"May 05, 2017","47,400","47,001","47,569","46,957","23.78K","0.52%"
"May 04, 2017","47,153","47,406","47,472","47,035","21.22K","-0.45%"
"May 03, 2017","47,364","47,540","47,839","47,265","24.83K","-0.45%"
"May 02, 2017","47,577","47,739","47,777","47,479","26.17K","0.07%"
"Apr 28, 2017","47,543","47,402","47,740","47,270","25.96K","0.03%"
"Apr 27, 2017","47,528","47,528","47,528","47,528","-","-0.00%"
"Apr 26, 2017","47,530","47,000","47,569","46,975","22.40K","1.10%"
"Apr 25, 2017","47,014","46,805","47,085","46,640","17.55K","0.65%"
"Apr 24, 2017","46,709","46,140","46,761","46,070","25.17K","1.53%"
