"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2019","614.54","614.28","618.36","611.72","-","0.05%"
"May 27, 2019","614.24","614.30","617.83","611.42","-","-0.01%"
"May 24, 2019","614.33","618.41","618.88","611.28","-","-0.91%"
"May 23, 2019","619.99","620.83","621.49","615.84","-","-0.05%"
"May 22, 2019","620.28","620.06","622.54","613.57","-","0.23%"
"May 21, 2019","618.88","614.51","624.75","614.51","-","0.60%"
"May 20, 2019","615.20","613.22","620.96","613.22","-","0.36%"
"May 17, 2019","613.02","618.72","622.43","612.23","-","-0.65%"
"May 16, 2019","617.01","626.34","627.33","615.91","-","-1.48%"
"May 15, 2019","626.28","623.19","630.00","622.14","-","0.46%"
"May 14, 2019","623.44","617.50","627.90","616.31","-","-0.10%"
"May 13, 2019","624.05","630.85","630.85","624.02","-","-1.20%"
"May 10, 2019","631.60","632.25","637.14","626.35","-","0.35%"
"May 09, 2019","629.41","649.21","649.65","629.41","-","-3.37%"
"May 08, 2019","651.35","652.69","655.67","647.09","-","-0.61%"
"May 07, 2019","655.38","657.18","657.18","650.37","-","-0.85%"
"May 03, 2019","661.01","666.50","666.50","659.84","-","-0.83%"
"May 02, 2019","666.53","662.74","668.42","660.30","-","0.36%"
"Apr 30, 2019","664.15","668.02","668.02","658.48","-","-0.57%"
"Apr 29, 2019","667.99","655.06","667.99","655.06","-","1.94%"
"Apr 26, 2019","655.25","656.78","657.28","651.03","-","-0.47%"
"Apr 25, 2019","658.33","658.65","661.43","655.72","-","-0.31%"
"Apr 24, 2019","660.37","666.62","670.19","656.07","-","-0.92%"
"Apr 23, 2019","666.48","664.94","667.28","664.11","-","0.23%"
"Apr 22, 2019","664.95","665.39","668.94","661.86","-","-0.01%"
"Apr 19, 2019","665.03","665.03","668.91","664.89","-","0.02%"
"Apr 18, 2019","664.89","677.15","677.95","663.78","-","-1.63%"
"Apr 17, 2019","675.94","676.95","678.03","674.97","-","-0.09%"
"Apr 16, 2019","676.58","674.23","676.77","672.36","-","0.45%"
"Apr 15, 2019","673.55","673.29","676.56","672.98","-","0.34%"
"Apr 12, 2019","671.24","668.95","671.84","665.33","-","0.30%"
"Apr 11, 2019","669.21","670.74","672.15","666.61","-","-0.18%"
"Apr 10, 2019","670.41","665.64","670.41","664.22","-","0.31%"
"Apr 09, 2019","668.34","667.68","670.70","664.59","-","0.17%"
"Apr 08, 2019","667.23","667.97","670.34","663.93","-","-0.05%"
"Apr 05, 2019","667.54","666.89","669.84","665.79","-","0.13%"
"Apr 04, 2019","666.67","665.50","670.30","663.76","-","0.19%"
"Apr 03, 2019","665.40","655.85","665.40","654.46","-","1.49%"
"Apr 02, 2019","655.66","652.85","657.24","652.85","-","0.66%"
"Apr 01, 2019","651.38","643.97","652.80","643.97","-","1.34%"
"Mar 29, 2019","642.74","640.01","643.77","637.34","-","0.53%"
"Mar 28, 2019","639.37","638.64","641.75","636.41","-","-0.77%"
"Mar 27, 2019","644.33","643.48","646.70","638.89","-","-0.20%"
"Mar 26, 2019","645.62","645.89","647.77","643.69","-","0.04%"
"Mar 25, 2019","645.38","657.05","657.05","644.80","-","-2.20%"
"Mar 22, 2019","659.87","662.43","662.67","657.11","-","0.38%"
"Mar 21, 2019","657.39","650.38","660.99","650.38","-","1.29%"
"Mar 20, 2019","649.04","647.31","649.26","640.50","-","0.12%"
"Mar 19, 2019","648.23","648.29","649.20","645.83","-","0.01%"
"Mar 18, 2019","648.16","649.11","650.15","645.70","-","-0.00%"
"Mar 15, 2019","648.18","641.00","649.50","640.39","-","1.06%"
"Mar 14, 2019","641.35","642.34","644.14","637.71","-","0.07%"
"Mar 13, 2019","640.93","644.69","644.69","636.33","-","-0.69%"
"Mar 12, 2019","645.37","641.57","647.27","641.57","-","1.13%"
"Mar 11, 2019","638.13","639.41","641.53","635.69","-","0.07%"
"Mar 08, 2019","637.67","645.06","645.06","637.67","-","-1.46%"
"Mar 07, 2019","647.13","648.51","652.21","644.01","-","-0.25%"
"Mar 06, 2019","648.75","649.33","649.73","645.69","-","-0.20%"
"Mar 05, 2019","650.05","654.90","654.90","647.96","-","-0.78%"
"Mar 04, 2019","655.14","662.72","665.30","654.35","-","-0.46%"
"Feb 28, 2019","658.19","668.45","668.45","658.19","-","-1.69%"
"Feb 27, 2019","669.51","669.19","671.61","668.35","-","0.20%"
"Feb 26, 2019","668.17","670.70","671.13","666.00","-","-0.40%"
"Feb 25, 2019","670.85","670.91","673.40","668.04","-","0.10%"
"Feb 22, 2019","670.17","668.62","670.17","664.69","-","0.04%"
"Feb 21, 2019","669.88","669.36","671.55","664.06","-","0.03%"
"Feb 20, 2019","669.65","661.37","671.09","661.37","-","1.43%"
"Feb 19, 2019","660.22","662.58","663.32","656.49","-","-0.37%"
"Feb 18, 2019","662.64","659.24","665.59","659.24","-","0.63%"
"Feb 15, 2019","658.50","669.26","669.26","656.09","-","-1.74%"
"Feb 14, 2019","670.15","661.36","670.15","657.14","-","1.30%"
"Feb 13, 2019","661.52","659.23","663.50","659.23","-","0.45%"
"Feb 12, 2019","658.53","652.59","659.55","651.88","-","0.75%"
"Feb 11, 2019","653.63","651.21","653.76","648.32","-","0.25%"
"Feb 08, 2019","652.02","661.19","661.19","651.03","-","-1.72%"
"Feb 07, 2019","663.42","666.19","668.08","662.27","-","-0.07%"
"Feb 01, 2019","663.91","664.93","669.93","663.07","-","-0.04%"
"Jan 31, 2019","664.16","666.04","671.36","664.16","-","-0.19%"
"Jan 30, 2019","665.41","657.37","665.42","654.54","-","1.31%"
"Jan 29, 2019","656.80","652.97","656.80","647.95","-","0.58%"
"Jan 28, 2019","653.03","654.85","657.10","649.97","-","-0.04%"
"Jan 25, 2019","653.26","641.05","653.26","640.08","-","1.98%"
"Jan 24, 2019","640.59","631.92","640.59","631.92","-","1.27%"
"Jan 23, 2019","632.57","631.13","634.06","626.48","-","0.23%"
"Jan 22, 2019","631.11","634.43","635.34","627.89","-","-0.52%"
"Jan 21, 2019","634.38","634.81","636.55","629.70","-","0.14%"
"Jan 18, 2019","633.48","628.99","633.54","628.99","-","0.72%"
"Jan 17, 2019","628.97","627.72","631.44","626.42","-","0.35%"
"Jan 16, 2019","626.79","623.20","626.79","620.94","-","0.60%"
"Jan 15, 2019","623.06","610.92","623.06","610.92","-","2.05%"
"Jan 14, 2019","610.55","614.90","614.90","608.43","-","-0.92%"
"Jan 11, 2019","616.23","612.25","617.23","612.25","-","0.67%"
"Jan 10, 2019","612.14","613.39","614.42","609.64","-","0.05%"
"Jan 09, 2019","611.86","596.99","612.06","596.99","-","2.53%"
"Jan 08, 2019","596.74","602.12","604.04","596.35","-","-0.90%"
"Jan 07, 2019","602.16","592.99","604.73","592.99","-","1.66%"
"Jan 04, 2019","592.33","588.38","592.60","584.88","-","0.65%"
"Jan 03, 2019","588.52","593.53","595.15","587.31","-","-1.11%"
"Jan 02, 2019","595.10","603.93","608.60","593.62","-","-1.48%"
"Dec 28, 2018","604.06","600.61","605.72","600.61","-","0.58%"
"Dec 27, 2018","600.58","602.71","604.22","598.82","-","-0.26%"
"Dec 26, 2018","602.12","608.53","608.53","598.12","-","-1.08%"
"Dec 24, 2018","608.70","609.22","609.99","605.22","-","-0.28%"
"Dec 21, 2018","610.40","609.52","610.40","605.45","-","0.15%"
"Dec 20, 2018","609.48","615.79","615.79","606.24","-","-1.05%"
"Dec 19, 2018","615.97","610.81","616.41","610.81","-","0.83%"
"Dec 18, 2018","610.88","612.55","614.10","607.06","-","-0.36%"
"Dec 17, 2018","613.11","611.61","615.30","610.63","-","0.24%"
"Dec 14, 2018","611.66","622.25","622.75","608.92","-","-1.70%"
"Dec 13, 2018","622.24","620.01","625.61","619.41","-","0.37%"
"Dec 12, 2018","619.94","611.38","620.76","611.38","-","1.46%"
"Dec 11, 2018","611.01","612.56","614.10","609.12","-","-0.28%"
"Dec 10, 2018","612.70","618.08","618.08","608.67","-","-1.22%"
"Dec 07, 2018","620.27","616.94","622.34","616.87","-","0.60%"
"Dec 06, 2018","616.54","627.40","627.40","615.55","-","-1.72%"
"Dec 05, 2018","627.35","631.86","631.86","622.59","-","-0.75%"
"Dec 04, 2018","632.06","636.96","636.97","628.51","-","-1.04%"
"Dec 03, 2018","638.70","631.20","639.86","631.20","-","2.03%"
"Nov 30, 2018","626.01","633.81","636.84","624.90","-","-1.16%"
"Nov 29, 2018","633.34","634.29","640.98","631.32","-","0.26%"
"Nov 28, 2018","631.72","629.81","631.77","627.02","-","0.39%"
"Nov 27, 2018","629.25","624.34","629.89","622.48","-","0.98%"
"Nov 26, 2018","623.16","614.87","623.59","614.87","-","1.25%"
"Nov 23, 2018","615.47","618.10","620.06","612.15","-","-0.51%"
"Nov 22, 2018","618.60","619.62","621.90","617.24","-","-0.10%"
"Nov 21, 2018","619.19","621.14","621.14","611.64","-","-0.58%"
"Nov 20, 2018","622.80","626.25","626.25","620.83","-","-1.38%"
"Nov 19, 2018","631.50","630.43","635.67","628.14","-","0.16%"
"Nov 16, 2018","630.49","631.24","635.41","629.00","-","-0.04%"
"Nov 15, 2018","630.77","624.82","631.14","621.86","-","0.96%"
"Nov 14, 2018","624.79","627.28","627.77","622.16","-","-0.41%"
"Nov 13, 2018","627.39","631.01","631.01","615.69","-","-0.72%"
"Nov 12, 2018","631.96","632.24","634.21","625.48","-","-0.06%"
"Nov 09, 2018","632.36","634.17","637.49","631.29","-","-0.29%"
"Nov 08, 2018","634.18","638.40","644.75","634.06","-","0.47%"
"Nov 07, 2018","631.21","632.46","637.16","629.91","-","-0.20%"
"Nov 06, 2018","632.49","630.93","633.25","625.09","-","0.43%"
"Nov 05, 2018","629.79","635.63","635.63","621.91","-","-0.97%"
"Nov 02, 2018","635.93","616.20","636.10","616.20","-","3.76%"
"Nov 01, 2018","612.89","616.13","621.90","612.32","-","-0.47%"
"Oct 31, 2018","615.76","614.98","615.77","608.23","-","0.58%"
"Oct 30, 2018","612.20","606.55","617.77","603.35","-","0.94%"
"Oct 29, 2018","606.52","611.60","616.71","605.64","-","-0.70%"
"Oct 26, 2018","610.81","620.52","620.69","604.96","-","-1.28%"
"Oct 25, 2018","618.71","624.84","624.84","610.61","-","-1.89%"
"Oct 24, 2018","630.64","634.25","638.01","629.25","-","-0.56%"
